region_name,first_date,first_price,last_date,last_price,price_gain
Maidstone,1995-01-01,63082.01431,2021-08-01,318699.2093,255617.19499
Maldon,1995-01-01,64537.91606,2021-08-01,375496.4676,310958.55153999996
Malvern Hills,1995-01-01,59655.77724,2021-08-01,314063.5937,254407.81646000003
Manchester,1995-01-01,35286.18723,2021-08-01,203835.1926,168549.00537
Mansfield,1995-01-01,38201.41648,2021-08-01,160378.1691,122176.75262
Medway,1995-01-01,47217.97478,2021-08-01,271755.7025,224537.72772000002
Melton,1995-01-01,54246.83727,2021-08-01,271019.3206,216772.48332999996
Mendip,1995-01-01,52801.17031,2021-08-01,313340.3351,260539.16479
Merseyside,1995-01-01,41723.39964,2021-08-01,174997.146,133273.74636
Merthyr Tydfil,1995-01-01,25550.33349,2021-08-01,123862.899,98312.56551
Merton,1995-01-01,82070.6133,2021-08-01,579958.0966,497887.4833000001
Mid and East Antrim,2005-01-01,105865.4089,2021-08-01,142161.2978,36295.888900000005
Mid Devon,1995-01-01,60958.43036,2021-08-01,260924.8919,199966.46154
Middlesbrough,1995-01-01,41100.45322,2021-08-01,124389.0384,83288.58518
Midlothian,2004-01-01,101391.2513,2021-08-01,219921.3446,118530.09330000001
Mid Suffolk,1995-01-01,57065.34337,2021-08-01,288317.3792,231252.03583
Mid Sussex,1995-01-01,76403.2435,2021-08-01,427197.3134,350794.0699
Mid Ulster,2005-01-01,114882.2112,2021-08-01,144691.0139,29808.802699999986
Milton Keynes,1995-01-01,50110.14065,2021-08-01,291346.5399,241236.39924999996
Mole Valley,1995-01-01,101899.7593,2021-08-01,532467.914,430568.15469999996
Monmouthshire,1995-01-01,62510.00794,2021-08-01,294811.2179,232301.20995999998
Moray,2004-01-01,69229.701,2021-08-01,171834.0246,102604.3236
Na h-Eileanan Siar,2004-01-01,39393.14602,2021-08-01,129364.9277,89971.78168
Neath Port Talbot,1995-01-01,36695.02404,2021-08-01,145610.4879,108915.46386000002
Newark and Sherwood,1995-01-01,44781.15368,2021-08-01,213276.7138,168495.56011999998
Newcastle-under-Lyme,1995-01-01,39358.17766,2021-08-01,173803.359,134445.18134
Newcastle upon Tyne,1995-01-01,45235.82,2021-08-01,177877.2254,132641.4054
New Forest,1995-01-01,71438.86629,2021-08-01,393528.9265,322090.06021
Newham,1995-01-01,53539.31919,2021-08-01,379668.0483,326128.72911
Newport,1995-01-01,49472.32324,2021-08-01,208668.5064,159196.18316000002
Newry Mourne and Down,2005-01-01,113420.8802,2021-08-01,161993.8928,48573.0126
Norfolk,1995-01-01,48216.43461,2021-08-01,256001.6281,207785.19349
North Ayrshire,2004-01-01,61545.82799,2021-08-01,122148.0677,60602.23971
